Название вина,Категория,Цвет,Регион,Сорт винограда,Описание,Винодельня,Slug,Название фото,photo_path,match,tier,is_stale,alias_group
Совиньон Блан. Покровское,Белое,Соломенно-золотистый,Нижняя Волга,Совиньон Блан,"Вкус: Мягкий, сбалансированный, с фруктово-цитрусовым профилем, утонченной кислинкой и очаровательным послевкусием. Гармоничный, освежающий, с оттенками цитрусовых, белых цветов, минералов и трав.",Винодельня Покровская,vinodelnya-pokrovskaya-sovinon-blan-pokrovskoe-beloe-suhoe-12,vinodelnya-pokrovskaya-sovinon-blan-pokrovskoe-beloe-suhoe-12.webp,prod-svoe-vino-strapi\vinodelnya_pokrovskaya_sovinon_blan_pokrovskoe_beloe_suhoe_12_7798c623a3.webp,ok,1,False,
Совиньон Блан. Семейный резерв,Белое,Светло-золотистый,Кубань,Совиньон Блан,"В аромате тропические и цирусовые фрукты, крыжовники, корочка белого хлеба. Вкус хорошо сбалансированный и освежающий, пикантная косточковая горчинка и длительное послевкусие.",Имение Сикоры,imenie-sikory-sovinon-blan-semeynyy-rezerv-beloe-suhoe-13,imenie-sikory-sovinon-blan-semeynyy-rezerv-beloe-suhoe-13.webp,prod-svoe-vino-strapi\imenie_sikory_sovinon_blan_semeynyy_rezerv_beloe_suhoe_13_8902a3f131.webp,ok,1,False,
Совиньон Кукуоба,Белое,Светло-соломенный,Кубань,Совиньон Блан,"В аромате цитрусовые и тропические оттенки. Вкус свежий, сочный, с длительным ягодным послевкусием.",Винодельня Узунов,vinodelnya-uzunov-sovinon-kukuoba-sovinon-blan-beloe-ekstra-bryut-12,vinodelnya-uzunov-sovinon-kukuoba-sovinon-blan-beloe-ekstra-bryut-12.webp,prod-svoe-vino-strapi\vinodelnya_uzunov_sovinon_kukuoba_sovinon_blan_beloe_ekstra_bryut_12_afc1102ff2.webp,ok,1,False,
Совиньон Семильон Кюве,Белое,Светло-соломенный,Кубань,Совиньон Блан,"Вкус: Сбалансированный и гармоничный, обладает мягкой текстурой, соблазнительными тонами тропических фруктов. Послевкусие приятное и продолжительное, с легкими нюансами минералов. Фрукты, цветы.",Мысхако,vinodelnya-myshako-sovinon-semilon-kyuve-sovinon-blan-beloe-suhoe-132,vinodelnya-myshako-sovinon-semilon-kyuve-sovinon-blan-beloe-suhoe-132.webp,prod-svoe-vino-strapi\vinodelnya_myshako_sovinon_semilon_kyuve_sovinon_blan_beloe_suhoe_132_46f2609e02.webp,ok,1,False,
Совиньон. Валерий Захарьин,Белое,Золотисто-соломенный,Крым,Совиньон,"Вкус: Нежный, сбалансированный, с мягкой фруктовой сладостью, пикантной цитрусовой кислинкой, нюансами трав, цедры и минералов. Легкий, с нотками цитрусовых, хрустящего зеленого яблока, крыжовника и мармелада из белой смородины.",Валерий Захарьин,valeriy-zaharin-sovinon-valeriy-zaharin-beloe-polusladkoe-125,valeriy-zaharin-sovinon-valeriy-zaharin-beloe-polusladkoe-125.webp,prod-svoe-vino-strapi\valeriy_zaharin_sovinon_valeriy_zaharin_beloe_polusladkoe_125_8494e4a11e.webp,ok,1,False,
Солист,Розовое,Вино нежного бледно-розового цвета.,Кубань,Марселан,"Аромат тонкий, сочный, с нотами розового грейпфрута, средиземноморских трав и красных садовых ягод. Гармоничный свежий вкус с пружинистой кислотностью и элегантным минерально-ягодным послевкусием. Красивое и тонкое розе в прованском стиле.",Усадьба Дивноморское,usadba-divnomorskoe-solist-marselan-rozovoe-suhoe-115,usadba-divnomorskoe-solist-marselan-rozovoe-suhoe-115.webp,prod-svoe-vino-strapi\usadba_divnomorskoe_solist_marselan_rozovoe_suhoe_115_a73776de13.webp,ok,1,False,
Солнечная Долина Меганом Кокур белое брют,Белое,Светло-золотистый,Крым,Кокур,"Игристое выражение самого известного крымского белого автохтона Кокур - уже интересно. А если добавить к этому классический метод производства и уникальность терруара Солнечной Долины - вино становится совершенно уникальным! Оно несомненно является отличным аперитивом, но и в гастрономическом плане обладает массой достоинств. 
Цвет вина: Светло-золотистый. Устойчивый, мелкий бисерный перляж. 
Букет: Довольно сложный аромат с преобладающими оттенками свежих фруктов, леденцово-карамельнымии и цитрусовыми оттенками, а также минеральными нюансами. 
Вкус: Яркий вкус с тонами южных фруктов. В балансе акцентировано внимание на свежую кислотность. Послевкусие вина длительное, развивающееся из фруктовой мягкости в свежесть. 
Гастрономия: Это игристое вино, прежде всего, является замечательным аперитивом. При подборе правильных гастрономических сочетаний стоит обратить внимание на фруктовые блюда и закуски, а также на морепродукты и не сладкую выпечку. Уверены, что его сочетание с молодыми сырами тоже вам понравится.",Солнечная долина,solnechnaya-dolina-meganom-kokur-beloe-bryut,Солнечная Долина меганом кокур.webp,prod-svoe-vino-strapi\Solnechnaya_Dolina_meganom_kokur_0084a50e59.webp,ok,1,False,
Солнечный Ветер,Белое,Вино бледно-лимонного цвета.,Кубань,Шардоне,"Привлекательный цветочно-фруктовый аромат с нюансами нектарина, спелого персика, зеленой груши, цитрусовой цедры, флердоранжа. Вкус свежий, с живой яркой кислотностью, пробуждающей аппетит.",Усадьба Дивноморское,usadba-divnomorskoe-solnechnyy-veter-shardone-beloe-suhoe-125,usadba-divnomorskoe-solnechnyy-veter-shardone-beloe-suhoe-125.webp,prod-svoe-vino-strapi\usadba_divnomorskoe_solnechnyy_veter_shardone_beloe_suhoe_125_28a7d7de96.webp,ok,1,False,
"Солнце, воздух, виноград",Розовое,Светло-розовый,Крым,"Пино чёрный (Пино нуар) и Мерло, Сира (Шираз)","В аромате тона красных ягод и фруктовыми оттенками. Вкус лёгкий, ягодный с умеренной кислотностью и приятной сладостью.",Alma Valley,alma-valley-solntse-vozduh-vinograd-sira-shiraz-rozovoe-polusladkoe-12,alma-valley-solntse-vozduh-vinograd-sira-shiraz-rozovoe-polusladkoe-12.webp,prod-svoe-vino-strapi\alma_valley_solntse_vozduh_vinograd_sira_shiraz_rozovoe_polusladkoe_12_ace425804f.webp,ok,1,False,
"Солнце, воздух, виноград",Красное,"Рубиновый, с фиолетовым оттенком",Крым,"Каберне Совиньон, Каберне Фран, Сира (Шираз), Темпранильо","Аромат ягодный с нежным сафьяновым оттенком. Вкус гармоничный, ягодный вкус с умеренной кислотностью, с приятной природной сладостью и бархатистыми танинами.",Alma Valley,alma-valley-solntse-vozduh-vinograd-sira-shiraz-krasnoe-polusuhoe-135,alma-valley-solntse-vozduh-vinograd-sira-shiraz-krasnoe-polusuhoe-135.webp,prod-svoe-vino-strapi\alma_valley_solntse_vozduh_vinograd_sira_shiraz_krasnoe_polusuhoe_135_7cd3395fb2.webp,ok,1,False,
"Солнце, воздух, виноград",Красное,Тёмно-рубиновый,Крым,"Каберне Совиньон, Мерло, Пино чёрный (Пино нуар) и Сира (Шираз)","В аромате тона чёрных ягод и нежный оттенк пряностей. Вкус структурированный, свежий и пряно-терпкий, с приятным фруктово-ягодным послевкусием.",Alma Valley,alma-valley-solntse-vozduh-vinograd-merlo-krasnoe-polusladkoe-14,alma-valley-solntse-vozduh-vinograd-merlo-krasnoe-polusladkoe-14.webp,prod-svoe-vino-strapi\alma_valley_solntse_vozduh_vinograd_merlo_krasnoe_polusladkoe_14_6111b648a4.webp,ok,1,False,
"Солнце, воздух, виноград",Белое,Светло-соломенный,Крым,"Кокур, Пино Блан, Рислинг, Семильон, Совиньон Блан, Шардоне","Аромат цветочно-цитрусовый, с оттенками белого персика. Вкус лёгкий, сбалансированный, с тонами жёлтых спелых фруктов и мягким длительным послевкусием.",Alma Valley,alma-valley-solntse-vozduh-vinograd-shardone-beloe-polusuhoe-13,alma-valley-solntse-vozduh-vinograd-shardone-beloe-polusuhoe-13.webp,prod-svoe-vino-strapi\alma_valley_solntse_vozduh_vinograd_shardone_beloe_polusuhoe_13_532db72561.webp,ok,1,False,
"Солнце, воздух, виноград",Белое,Золотистый,Крым,"Кокур, Коломбар, Совиньон Блан, Траминер, Шардоне","В аромате  манго, персик, абрикосовый пирог и мандарин, тона миндаля. Вкус живой, яркий, с преобладанием тропических жёлтых фруктов и пикантным цветочно-имбирным послевкусием.",Alma Valley,alma-valley-solntse-vozduh-vinograd-kokur-beloe-polusladkoe-13,alma-valley-solntse-vozduh-vinograd-kokur-beloe-polusladkoe-13.webp,prod-svoe-vino-strapi\alma_valley_solntse_vozduh_vinograd_kokur_beloe_polusladkoe_13_e1b2a15be1.webp,ok,1,False,
Солярис,Белое,Cветло-соломенный,Кубань,Солярис,"Вкус: Фруктовые оттенки с нотами зеленого яблока и ананаса, с легкими минеральными нотами. Сочный, свежий, спелый персик, груша, ананас.",Nesterov Winery,nesterov-winery-solyaris-beloe-suhoe-14,nesterov-winery-solyaris-beloe-suhoe-14.webp,prod-svoe-vino-strapi\nesterov_winery_solyaris_beloe_suhoe_14_634dc705f3.webp,ok,1,False,
Соседи Алиготе/Шардоне 2025,Белое,Светло-лимонный,Крым,"Алиготе, Шардоне","Питкое, задорное вино с фруктово-цветочным профилем и пикантной живой кислинкой и сдержанным послевкусием. Аромат свежий, приятный, раскрывается оттенками спелого персика, садового яблока, груши дюшес и полевых цветов.",Коммуналка,sosedi-aligote-shardone-2025,DSC00842.webp,prod-svoe-vino-strapi\DSC_00842_e6a43cbc3d.webp,ok,1,False,
Союз-Вино ЕвроПак Шираз,Красное,У вина насыщенный красный цвет с фиолетовым отливом.,Кубань,Шираз,"Вино обладает легким, гармоничным, приятным вкусом с фруктово-пряными акцентами, деликатной ягодной терпкостью, мягкими танинами и насыщенным, сладковатым послевкусием.",Союз-Вино,soyuz-vino-soyuz-vino-evropak-shiraz-krasnoe-polusladkoe-11,soyuz-vino-soyuz-vino-evropak-shiraz-krasnoe-polusladkoe-11.webp,prod-svoe-vino-strapi\soyuz_vino_soyuz_vino_evropak_shiraz_krasnoe_polusladkoe_11_80fd7e408c.webp,ok,1,False,
Союз-Вино Изабелла,Красное,У вина глубокий красно-рубиновый цвет с пурпурными отблесками.,Кубань,Изабелла,"Мягкий, питкий вкус вина покоряет сочностью фруктовых оттенков, деликатной сладостью и тонкой, гармоничной ягодной кислинкой. Округлые танины выстилают нежное послевкусие.",Союз-Вино,soyuz-vino-soyuz-vino-izabella-krasnoe-polusladkoe-11,soyuz-vino-soyuz-vino-izabella-krasnoe-polusladkoe-11.webp,prod-svoe-vino-strapi\soyuz_vino_soyuz_vino_izabella_krasnoe_polusladkoe_11_1abeea2193.webp,ok,1,False,
Союз-Вино Изабелла Бэг-ин-бокс,Красное,У вина глубокий красно-рубиновый цвет с пурпурными отблесками.,Кубань,Изабелла,"Мягкий, питкий вкус вина покоряет сочностью фруктовых оттенков, деликатной сладостью и тонкой, гармоничной ягодной кислинкой. Округлые танины выстилают нежное послевкусие.",Союз-Вино,soyuz-vino-soyuz-vino-izabella-beg-in-boks-krasnoe-polusladkoe-11,soyuz-vino-soyuz-vino-izabella-beg-in-boks-krasnoe-polusladkoe-11.webp,prod-svoe-vino-strapi\soyuz_vino_soyuz_vino_izabella_beg_in_boks_krasnoe_polusladkoe_11_57877fa333.webp,ok_fallback,2,False,
Союз-Вино Каберне Совиньон,Красное,Вино насыщенного рубинового цвета.,Кубань,Каберне Совиньон,"Вкус вина мягкий, чистый, сбалансированный, легкий, умеренно терпкий, с бархатистой текстурой и приятными оттенками спелых фруктов.",Союз-Вино,soyuz-vino-soyuz-vino-kaberne-sovinon-krasnoe-suhoe-12,soyuz-vino-soyuz-vino-kaberne-sovinon-krasnoe-suhoe-12.webp,prod-svoe-vino-strapi\soyuz_vino_soyuz_vino_kaberne_sovinon_krasnoe_suhoe_12_323dad351f.webp,ok,1,False,
Союз-Вино Каберне Совиньон Бэг-ин-бокс,Красное,Насыщенный рубиновый цвет.,Кубань,Каберне Совиньон,"Щедрый, свежий, отлично сбалансированный вкус демонстрирует яркие фруктово-ягодные оттенки, среди которых особенно выделяются нотки черной смородины, украшенные травянистыми тонами, и продолжительное послевкусие.",Союз-Вино,soyuz-vino-soyuz-vino-kaberne-sovinon-beg-in-boks-krasnoe-suhoe-11,soyuz-vino-soyuz-vino-kaberne-sovinon-beg-in-boks-krasnoe-suhoe-11.webp,prod-svoe-vino-strapi\soyuz_vino_soyuz_vino_kaberne_sovinon_beg_in_boks_krasnoe_suhoe_11_a2b1e169b2.webp,ok_fallback,2,False,
Союз-Вино Каберне Совиньон Полусладкое Бэг-ин-бокс,Красное,Насыщенный гранатовый цвет.,Кубань,Каберне Совиньон,"Мягкий, гармоничный, чистый, питкий, приятно сладковатый вкус отличается выразительными фруктово-ягодными тонами, умеренной терпкостью, деликатной танинностью, бархатистой текстурой и продолжительным послевкусием.",Союз-Вино,soyuz-vino-soyuz-vino-kaberne-sovinon-polusladkoe-beg-in-boks-krasnoe-12,soyuz-vino-soyuz-vino-kaberne-sovinon-polusladkoe-beg-in-boks-krasnoe-12.webp,prod-svoe-vino-strapi\soyuz_vino_soyuz_vino_kaberne_sovinon_polusladkoe_beg_in_boks_krasnoe_12_848ced18a2.webp,ok_fallback,2,False,
Союз-Вино Мускат,Белое,Вино отличается светло-золотистым цветом.,Кубань,Мускат,"Вкус вина мягкий, нежный, гармоничный. Фруктово-медовая сладость идеально дополнена пряностью мускатных оттенков. Послевкусие приятное, сбалансированное.",Союз-Вино,soyuz-vino-soyuz-vino-muskat-beloe-polusladkoe-11,soyuz-vino-soyuz-vino-muskat-beloe-polusladkoe-11.webp,prod-svoe-vino-strapi\soyuz_vino_soyuz_vino_muskat_beloe_polusladkoe_11_31c63dac6f.webp,ok,1,False,
Союз-Вино Мускат Бэг-ин-бокс,Белое,Вино отличается светло-золотистым цветом.,Кубань,Мускат,"Вкус вина мягкий, нежный, гармоничный. Фруктово-медовая сладость идеально дополнена пряностью мускатных оттенков. Послевкусие приятное, сбалансированное.",Союз-Вино,soyuz-vino-soyuz-vino-muskat-beg-in-boks-beloe-polusladkoe-11,soyuz-vino-soyuz-vino-muskat-beg-in-boks-beloe-polusladkoe-11.webp,prod-svoe-vino-strapi\soyuz_vino_soyuz_vino_muskat_beg_in_boks_beloe_polusladkoe_11_c04d62fb2c.webp,ok_fallback,2,False,
Союз-Вино Шардоне Белое Полусладкое Бэг-ин-бокс,Белое,Цвет привлекает светлым соломенно-золотистым оттенком.,Кубань,Шардоне,"Мягкий, свежий, округлый и гармоничный вкус манит нежными фруктовыми оттенками, сладость которых сбалансирована приятной, тонкой кислотностью.",Союз-Вино,soyuz-vino-soyuz-vino-shardone-beloe-polusladkoe-beg-in-boks-12,soyuz-vino-soyuz-vino-shardone-beloe-polusladkoe-beg-in-boks-12.webp,prod-svoe-vino-strapi\soyuz_vino_soyuz_vino_shardone_beloe_polusladkoe_beg_in_boks_12_f0024228a1.webp,ok_fallback,2,False,
Союз-Вино Шардоне Сухое,Белое,У вина светло-золотистый цвет.,Кубань,Шардоне,"Вино отличается питким, свежим, гармоничным, фруктовым вкусом с хорошо сбалансированной кислотностью и приятным, сухим послевкусием.",Союз-Вино,soyuz-vino-soyuz-vino-shardone-suhoe-beloe-11,soyuz-vino-soyuz-vino-shardone-suhoe-beloe-11.webp,prod-svoe-vino-strapi\soyuz_vino_soyuz_vino_shardone_suhoe_beloe_11_ea78298986.webp,ok,1,False,
Союз-Вино Шардоне Сухое Бэг-ин-бокс,Белое,Привлекательный светло-золотистый цвет.,Кубань,Шардоне,"Мягкий, округлый, питкий, гармоничный, фруктовый вкус отличается хорошо сбалансированной кислотностью и приятным, сухим послевкусием.",Союз-Вино,soyuz-vino-soyuz-vino-shardone-suhoe-beg-in-boks-beloe-11,soyuz-vino-soyuz-vino-shardone-suhoe-beg-in-boks-beloe-11.webp,prod-svoe-vino-strapi\soyuz_vino_soyuz_vino_shardone_suhoe_beg_in_boks_beloe_11_d970c9b11d.webp,ok_fallback,2,False,
Станичное,Белое,Светло-золотистый,Долина Дона,Станичный,"Вкус: Легкий, живой, с приятной фруктовой сладостью и цитрусовой кислинкой, свежим, минеральным послевкусием. С нотами спелых косточковых фруктов, лемонграсса, белых цветов и с сухих луговых цветов.",Благолюбов,blagolyubov-stanichnoe-stanichnyy-beloe-suhoe-12,blagolyubov-stanichnoe-stanichnyy-beloe-suhoe-12.webp,prod-svoe-vino-strapi\blagolyubov_stanichnoe_stanichnyy_beloe_suhoe_12_eef92e6059.webp,ok,1,False,
Старая Дорога на Джанхот,Красное,Красивый рубиновый цвет с гранатовыми оттенками и легкими рыжими отблесками.,Кубань,Каберне Совиньон,"Яркий, сочный аромат раскрывается нотами сушеных ягод и легким оттенком эвкалипта, переходя в богатый букет из черничного джема, спелой вишни, тонкого сливового мармелада, сочной черной смородины. Фоном звучат изящные нюансы чабреца и мягкий ванильный оттенок. Вкус мягкий, сочный, ягодный, с прекрасно сбалансированными танином и кислотностью, завершается чуть терпким ягодным послевкусием.",Усадьба Мезыбь,usadba-mezyb-staraya-doroga-na-dzhanhot-kaberne-sovinon-krasnoe-suhoe-144,usadba-mezyb-staraya-doroga-na-dzhanhot-kaberne-sovinon-krasnoe-suhoe-vyderzhannoe-144.webp,prod-svoe-vino-strapi\usadba_mezyb_staraya_doroga_na_dzhanhot_kaberne_sovinon_krasnoe_suhoe_vyderzhannoe_144_6130c0ed6d.webp,ok,1,False,
"Старая дорога на Джанхот. Каберне Совиньон, Каберне Фран",Красное,Тёмно-бодовый,Кубань,"Каберне Совиньон, Каберне Фран","В аромате дикая вишня, ежевика, специи и табачный лист. Вкус сочный, ягодный, сбалансированный, с оттенками черной смородины, терна и какао. Послевкусие длительное с нюансами черники и горького шоколада.",Усадьба Мезыбь,usadba-mezyb-staraya-doroga-na-dzhanhot-kaberne-sovinon-kaberne-fran-krasnoe-suhoe-144,usadba-mezyb-staraya-doroga-na-dzhanhot-kaberne-sovinon-kaberne-fran-krasnoe-suhoe-144.webp,prod-svoe-vino-strapi\usadba_mezyb_staraya_doroga_na_dzhanhot_kaberne_sovinon_kaberne_fran_krasnoe_suhoe_144_2792094341.webp,ok,1,False,
Сухое белое ЗБ вайн Фриззанте,Белое,Светло-соломенный,Крым,Ркацители,"Яркий аромат крымских фруктов — спелого персика и абрикоса, груши Дюшес, белой черешни, с переплетением цитрусовых и цветочных нот. Во вкусе спелый персик и абрикос, груша Дюшес",Золотая Балка,suhoe-beloe-zb-vajn-frizzante,Фризанте белое сухое.webp,,no_sitemap,0,True,
Тавквери Escape,Красное,Глубоко-рубиновый с фиолетовыми отблесками,Крым,Тавквери,"Вкус: Гармоничный, сочный, с бархатистыми танинами, сбалансированной кислотностью, яркими фруктово-ягодными оттенками и продолжительным послевкусием с нюансами специй (черного перца). Яркий, с тонами граната, вишни и малины, с оттенками сладких специй.",Винодельня Жаков,vinodelnya-zhakov-tavkveri-escape-krasnoe-suhoe-117,vinodelnya-zhakov-tavkveri-escape-krasnoe-suhoe-117.webp,prod-svoe-vino-strapi\vinodelnya_zhakov_tavkveri_escape_krasnoe_suhoe_117_b6800294d6.webp,ok,1,False,
Танговое Манто. Пино Нуар,Красное,Яркий рубиновый,Крым,Пино Нуар,"Вкус: Насыщенный, приятный, с фруктово-ягодными акцентами, кислинкой кизила, нотками специй в долгом, сухом послевкусии. С тонами спелой вишни и черешни, украшенными нотками пряностей и ванили.",Валерий Захарьин,valeriy-zaharin-tangovoe-manto-pino-nuar-krasnoe-suhoe-13,valeriy-zaharin-tangovoe-manto-pino-nuar-krasnoe-suhoe-13.webp,prod-svoe-vino-strapi\valeriy_zaharin_tangovoe_manto_pino_nuar_krasnoe_suhoe_13_a0df9308e1.webp,ok,1,False,
Танговое Манто. Совиньон,Белое,Светлый соломенный,Крым,Совиньон Блан,"Вкус: Легкий, гармоничный, с пикантными тонами белого перца и желтых спелых фруктов, свежей кислотностью и сухим, приятным послевкусием. Изысканный, с тонами сочного грейпфрута и крыжовника.",Валерий Захарьин,valeriy-zaharin-tangovoe-manto-sovinon-sovinon-blan-beloe-suhoe-125,valeriy-zaharin-tangovoe-manto-sovinon-sovinon-blan-beloe-suhoe-125.webp,prod-svoe-vino-strapi\valeriy_zaharin_tangovoe_manto_sovinon_sovinon_blan_beloe_suhoe_125_e437fbd64f.webp,ok,1,False,
Тандем,Красное,Насыщеный рубиновый,Крым,Саперави,"Мерло, Каберне Совиньон выдержка в стали 6 месяцев и Пино Черный 18 месяцев барик из кавказского дуба. Аромат: богатая ароматика. Черная смородина, вишня, шоколад, дорогой табак, легкий подлесок. Вкус: полнотелое с умеренными танинами. Ощутима яркая вишня переспелая, послевкусие шоколад с табаком.",Два Петра,twopeters_tandem,product (6).webp,prod-svoe-vino-strapi\product_6_df359266e6.webp,ok,1,False,
ТБА Совиньон,Белое,Золотой,Крым,Совиньон Блан,"В аромате тона мёда и айвового варенья. Вкус яркий, с прекрасным балансом, долгим минеральным и сладким послевкусием.",Alma Valley,alma-valley-tba-sovinon-sovinon-blan-beloe-sladkoe-75,alma-valley-tba-sovinon-sovinon-blan-beloe-sladkoe-75.webp,prod-svoe-vino-strapi\alma_valley_tba_sovinon_sovinon_blan_beloe_sladkoe_75_571c20333f.webp,ok,1,False,
Темелион Blanc de Blancs,Белое,Светло-соломенный,Кубань,Шардоне,"Вкус структурированный, с нотами желтой сливы, белой черешни, сухофруктов, оттеноками свежей выпечки со сливочным маслом, с долгим свежим послевкусием. Аромат интенсивный, цветочный, с оттенками акации, луговых трав переходящий в маслянистость бриоши, выпечки и тона хлебной корочки.

Первичное брожение в стали. Классическая шампанизация, выдержка в бутылке 75 месяцев.

Награды: Авторский гид Артура Саркисяна - 93 баллов, платина, 2025 год",Долина Лефкадия,temelion-blanc-de-blancs,Темелион Блан де блан (1).webp,prod-svoe-vino-strapi\Temelion_Blan_de_blan_1_bce05cbf71.webp,ok,1,False,
Темелион брют,Белое,Светло-золотистый,Кубань,Шардоне,"Вкус интенсивный, яркий, ягодный, с оттенками черешни, сливы, цитрусов и лимонника, с легким, приятным послевкусием. Аромат комплексный, с нотами спелого яблока, груши, желтой сливы, цветов-медоносов, луговых трав, с приятными дрожжевыми тонами. 

Прессование целых гроздей. Первичное брожение в стали. Выдержка не менее 36 месяцев в бутылке в известняковых тоннелях при температуре 14 °C.

Награды: Авторский гид Артура Саркисяна - 90 баллов, золото, 2025 год.",Долина Лефкадия,avtorskij-gid-artura-sarkisyana,Темелион Брют (1).webp,prod-svoe-vino-strapi\Temelion_Bryut_1_a8d14c7360.webp,ok,1,False,
Темелион брют розе,Розовое,Светло-лососевый,Кубань,Шардоне,"Вкус яркий, ягодный с аккуратным финишем вишни в шоколаде и с приятной и игривой кислинкой в послевкусии. Аромат искрящийся, с богатой ягодной палитрой: земляники, вишни, брусники, красной смородины и нежными оттенками клубники со сливками.

Сортовой состав: Шардоне, Пино Нуар.

Первичное брожение в стали. Классическая шампанизация, выдержка в бутылке 36 месяцев.

Награды: Авторский гид Артура Саркисяна - 91 баллов, золото, 2025 год.",Долина Лефкадия,temelion-bryut-roze,Темелион Брют розе (1).webp,prod-svoe-vino-strapi\Temelion_Bryut_roze_1_a6d6d4234d.webp,ok,1,False,
Темная роза,Розовое,Розовый,Крым,"Коломбар, Сира","В аромате спелая клубника, земляника, малина, вишневая косточка, клубничное варенье. Вкус полнотелый, кислотность средняя.",Le K2,le-k2-temnaya-roza-sira-rozovoe-suhoe-13,le-k2-temnaya-roza-sira-rozovoe-suhoe-13.webp,prod-svoe-vino-strapi\le_k2_temnaya_roza_sira_rozovoe_suhoe_13_80e154d18a.webp,ok,1,False,
Темпранильо,Розовое,Розовый,Кубань,Темпранильо,"Вкус: Минерально-ягодный, малина, шиповник, слива, грейпфрут, сливки. Клубника, ягоды.",Мысхако,vinodelnya-myshako-tempranilo-rozovoe-suhoe-134,vinodelnya-myshako-tempranilo-rozovoe-suhoe-134.webp,prod-svoe-vino-strapi\vinodelnya_myshako_tempranilo_rozovoe_suhoe_134_090941fd8c.webp,ok,1,False,
Темпранильо,Красное,Насыщенный рубиновый цвет,Крым,Темпранильо,"В аромате тона черноплодной рябины, черной смородины, ежевики, бальзамических трав и ванили. Вкус насыщенный, плодово-пряный, с бархатистой танинной текстурой и долгим послевкусием.",Alma Valley,alma-valley-tempranilo-krasnoe-suhoe-13,alma-valley-tempranilo-krasnoe-suhoe-13.webp,prod-svoe-vino-strapi\alma_valley_tempranilo_krasnoe_suhoe_13_9f66826c6d.webp,ok,1,False,
Темпранильо Резерв,Красное,Рубиновый,Крым,Темпранильо,"В аромате тона черноплодной рябины, черной смородины, чернослива, ежевики, бальзамических трав и ванили. Вкус насыщенный, плодово-пряный, с бархатистой танинной текстурой и долгим послевкусием.",Alma Valley,alma-valley-tempranilo-rezerv-krasnoe-suhoe-14,alma-valley-tempranilo-rezerv-krasnoe-suhoe-14.webp,prod-svoe-vino-strapi\alma_valley_tempranilo_rezerv_krasnoe_suhoe_14_36d4dbc6c0.webp,ok,1,False,
Терра Пиа Кальдера Бленд,Белое,Цвет колеблется от светло-соломенного до соломенного с зеленоватым оттенком.,Кубань,"Рислинг Рейнский, Шардоне","Вкус вина сложный, свежий, с высокой натуральной кислотностью, фруктовыми оттенками и живым, бодрящим послевкусием с минеральными нюансами.",Союз-Вино,soyuz-vino-terra-pia-kaldera-blend-risling-reynskiy-beloe-suhoe-11,soyuz-vino-terra-pia-kaldera-blend-risling-reynskiy-beloe-suhoe-11.webp,prod-svoe-vino-strapi\soyuz_vino_terra_pia_kaldera_blend_risling_reynskiy_beloe_suhoe_11_0a3230fc09.webp,ok,1,False,
Терра Пиа Лава Бленд,Красное,Имеет насыщенный рубиновый цвет.,Кубань,"Каберне Совиньон, Мерло, Шираз","Вкус округлый, сбалансированный, мягкий, с ягодными и фруктовыми штрихами, тонкими цветочными нюансами и долгим послевкусием.",Союз-Вино,soyuz-vino-terra-pia-lava-blend-merlo-krasnoe-suhoe-12,soyuz-vino-terra-pia-lava-blend-merlo-krasnoe-suhoe-12.webp,prod-svoe-vino-strapi\soyuz_vino_terra_pia_lava_blend_merlo_krasnoe_suhoe_12_8c211b3368.webp,ok,1,False,
Токката,Красное,Вино рубинового цета с блеском.,Крым,Каберне Совиньон,"Тонкий и элегантный аромат раскрывается нотами пиона, красных ягод, сливы и вишни в шоколаде. Вкус сочный, мягкий, с пружинистой структурой и бархатистыми танинами. На финише терпкая крошка темного шоколада.",Шато Ай-Даниль,shato-ay-danil-tokkata-saperavi-krasnoe-suhoe-14,shato-ay-danil-tokkata-saperavi-krasnoe-suhoe-14.webp,prod-svoe-vino-strapi\shato_ay_danil_tokkata_saperavi_krasnoe_suhoe_14_195c22982f.webp,ok,1,False,
Точка,Красное,Тёмно-рубиновый с фиолетовым оттенком,Кубань,Саперави,"В аромате тона увяленных, засахаренных красных ягод, черники, тёрна, чернослива, шоколада, пряностей, эвкалипта. Вкус насыщенный, гармоничный с мягкими бархатистыми танинами с длительным послевкусем.",Фанагория,fanagoriya-tochka-saperavi-krasnoe-suhoe-14,fanagoriya-tochka-saperavi-krasnoe-suhoe-14.webp,prod-svoe-vino-strapi\fanagoriya_tochka_saperavi_krasnoe_suhoe_14_85b003f862.webp,ok,1,False,
Траминер,Белое,Блестящий соломенно-лимонный,Крым,Траминер Розовый,"Вкус: Питкий, с тонами мокрого камня, ванили, нектарина, имбирного корня, мандариновой кожуры и лемонграсса. С апельсиново-цветочными нотами, оттенками восточных специй, кумквата, лайма, персика.",ВайнКрафт,vaynkraft-traminer-traminer-rozovyy-beloe-suhoe-14,vaynkraft-traminer-traminer-rozovyy-beloe-suhoe-14.webp,prod-svoe-vino-strapi\vaynkraft_traminer_traminer_rozovyy_beloe_suhoe_14_7301148f29.webp,ok,1,False,
